ImageIdx,Precision,Recall,F1,Dice,IoU
0,0.9549237819134013,0.986951478832399,0.9706735110984362,0.9706735110522994,0.9430181011319709
1,0.994449715370019,0.9400448430493273,0.9664822498847395,0.96648224986246,0.9351385109097944
2,0.999562363238512,0.9182412923504258,0.9571776897287413,0.9571776897105079,0.9178722782070045
3,0.93760992316949,0.9996052501727031,0.9676155903706534,0.9676155903475445,0.9372628851236576
4,0.9347079037800687,0.9882094872497944,0.96071440471827,0.9607144046862579,0.9243988457246297
5,0.95213558230345,0.9999154477044052,0.9754407670893906,0.9754407670692764,0.952058930042585
6,0.9991534749851858,0.8871101089815858,0.939804124532208,0.9398041245135001,0.886443860274636
7,0.9986577181208054,0.9239587313717997,0.959857093236739,0.9598570932129247,0.9228127086669777
8,0.9613890895953757,0.9963961434054105,0.9785796368650885,0.9785796368425975,0.9580576931300095
9,0.966604737575476,0.9882235623723824,0.9772946065885557,0.9772946065656086,0.9555973918194693
10,0.9983806760677417,0.930980244117277,0.9635031743447827,0.9635031743134135,0.9295765799139605
11,0.967897812406353,0.9909111826967326,0.9792693094823012,0.9792693094637446,0.9593806853689013
12,0.9975204182057542,0.951872766523155,0.9741621419209886,0.9741621419149088,0.9496258441205863
13,0.9998980268189466,0.9119274587305278,0.9538888078213921,0.9538888077981933,0.9118426558370836
14,0.9986728216964801,0.9547636122910576,0.9762247229037989,0.9762247228762663,0.953553718955727
15,0.9875543157555925,0.9687417776140609,0.9780575921793646,0.9780575921533828,0.9570574473118244
16,0.9941192831883021,0.9650902638481715,0.979389716388405,0.9793897163692354,0.9596118440871582
17,0.936223064025337,0.9970899470899471,0.9656983633859655,0.9656983633550364,0.933671889457257
18,0.9994482927726354,0.8949881978371851,0.9443382565884738,0.9443382565611255,0.8945462525570862
19,0.9870207074209848,0.977913026406204,0.9824457593688363,0.9824457593203922,0.9654971892842122
20,0.9941238880274219,0.9678982916170044,0.9808358160882519,0.9808358160487626,0.9623923519821133
