ImageIdx,Precision,Recall,F1,Dice,IoU
0,0.987266215678472,0.9592112893872028,0.973036572212962,0.9730365721652595,0.9474890203410837
1,0.9975211937930692,0.902286995515695,0.9475171293353112,0.9475171293130014,0.9002684563355584
2,1.0,0.8730309564708892,0.932211988760537,0.9322119887423468,0.8730309564389813
3,0.9560702493180839,0.985838349945722,0.970726137550713,0.9707261375271306,0.943117447085389
4,0.9752647714604237,0.9594872497943515,0.9673116793365584,0.9673116793031337,0.9366927657808544
5,0.9915395462120241,0.9810180096389617,0.9862507172152921,0.9862507171943334,0.9728743920437333
6,0.9994288726825411,0.8549041713641489,0.9215344729806368,0.9215344729619717,0.8544867219751912
7,0.998712584486643,0.8892816201757738,0.9408257112537268,0.9408257112299554,0.888263358736247
8,0.9896892453100387,0.9703734905925302,0.9799361928394187,0.9799361928162605,0.9606616624520127
9,0.9778173419305168,0.9649556009307184,0.9713438971343897,0.9713438971111746,0.944284386573221
10,0.9995099068823077,0.8982005788347804,0.9461510421844451,0.9461510421530918,0.8978051694297337
11,0.9940043676791741,0.9600398834177021,0.9767269464115019,0.976726946392448,0.9545125252238337
12,0.9985602578327257,0.9220402239270163,0.9587758958522248,0.958775895846145,0.9208160779424993
13,1.0,0.8745408044640781,0.9330720381027982,0.9330720380796519,0.8745408044234112
14,0.9997555759242286,0.9025762674463508,0.9486837527542619,0.9486837527267574,0.9023771440680394
15,0.9979261478195749,0.9115929063832027,0.952807876354436,0.9528078763282325,0.9098692157723689
16,0.9989505499118462,0.9179524764696806,0.9567402404213404,0.9567402404021079,0.917068095074297
17,0.9792392177873024,0.9670634920634921,0.9731132703314256,0.9731132702990445,0.9476344782276322
18,0.9995535144788876,0.8602404347587418,0.9246791562177312,0.9246791561904505,0.8599100087324456
19,0.9982898674647285,0.9168548149602435,0.9558409660748094,0.9558409660258997,0.9154170341159054
20,0.9987026466009341,0.9175208581644815,0.9563920983973164,0.9563920983577093,0.916428571355839
21,0.9975573280159521,0.895948063577345,0.9440264182096946,0.9440264181874272,0.8939867762288247
22,0.9964780615250634,0.9382702650555917,0.9664985590778098,0.9664985590718069,0.9351690484376971
23,0.9873659183899148,0.9339452420177297,0.9599129184416701,0.9599129184287705,0.9229159129432292
24,0.9990143316182704,0.937993965979973,0.967543005517689,0.9675430055084527,0.9371266897028843
25,0.9982268455582481,0.9095756139595003,0.9518415194296503,0.951841519402828,0.9081083987037257
26,0.9987600377893245,0.9425498718377354,0.969841178831489,0.9698411788036855,0.9414482105559387
27,0.9942857142857143,0.9721098011613585,0.983072713926641,0.983072713904774,0.9667089548551245
28,0.9945073574286295,0.9278167900297336,0.9600052366302284,0.9600052365988084,0.9230866061856063
29,0.9811091120753519,0.9613210971120444,0.9711143119025796,0.9711143118771477,0.9438505395569207
30,0.9909817246762788,0.969036244117964,0.9798861273303487,0.9798861273214508,0.9605654364336099
31,0.9775153671950825,0.9288825126812522,0.9525786196568846,0.9525786196318583,0.9094511888778243
32,0.9879171461449943,0.9513783072447708,0.969303507162515,0.9693035071397148,0.9404354374485172
33,0.9999284180386543,0.8885001908154179,0.940926848982891,0.9409268489512014,0.8884436811748112
34,0.989595297615026,0.9634916458360742,0.9763690297636903,0.9763690297311479,0.9538291221051166
35,0.9989461005721169,0.9385609204073935,0.9678125151942432,0.9678125151707149,0.9376324838222416
36,1.0,0.9169723063838835,0.9566881100266194,0.9566881100000918,0.916972306335142
37,0.9997941115915174,0.9203506278133143,0.9584289344484741,0.9584289344248285,0.920176228105539
38,0.9995030808984298,0.9059136152772148,0.9504099038438821,0.9504099038326552,0.9055057848803515
39,0.9936872374362545,0.9378140570338175,0.9649425161979973,0.9649425161874721,0.9322598322106761
40,0.9999295972965362,0.8950154389060432,0.9445682173378114,0.9445682173064022,0.8949590421616282
41,0.9855606452897829,0.960873786407767,0.9730606626683709,0.9730606626205358,0.9475347055100493
42,0.9978300757877941,0.929464219365386,0.96243459526008,0.9624345952526745,0.9275893267538663
43,0.9897480170506664,0.9672537439358785,0.9783716030615782,0.9783716030354862,0.9576589745767119
44,0.9991953805376751,0.904808846219784,0.9496626180836707,0.9496626180623108,0.9041500706281147
45,0.9990463949583316,0.8915528915528915,0.9422437727290501,0.9422437727106275,0.8907948243663292
46,0.9943178419761948,0.9331986078365331,0.9627892161121246,0.9627892160842444,0.928248366691147
47,0.998378027681661,0.9564406691873414,0.9769595005687379,0.9769595005428945,0.9549568184850309
48,0.9869294824496679,0.9624299737883538,0.9745257734641305,0.9745257734387727,0.9503171783328943
49,0.994376120140906,0.9455139505911666,0.9693296624515787,0.969329662445739,0.9404846798501247
50,0.9835021707670043,0.9574142650136854,0.9702828937975484,0.9702828937777584,0.9422810283665856
51,0.9873484879402522,0.96413342366397,0.9756028711992902,0.9756028711796193,0.952367830533702
52,0.9663277755185035,0.9589184826472962,0.9626088717844845,0.9626088717747356,0.9279131521218387
53,0.9937099659530267,0.876737436994043,0.9315661347038139,0.931566134678616,0.8718987341330684
54,0.9926625945987476,0.9737347853939782,0.98310759397352,0.9831075939548184,0.9667764142110604
55,1.0,0.8791811754774718,0.9357066651692965,0.9357066651517827,0.8791811754465484
56,0.9836089021111047,0.9639753294084665,0.9736931528572238,0.9736931528434376,0.9487349280978745
57,0.9986042951690604,0.8826806749442853,0.9370709140455016,0.9370709140257066,0.881593068051926
58,0.9959127121579494,0.97036787040162,0.9829743589743589,0.982974358940753,0.9665187574985532
59,0.9988112927191679,0.8760969675905813,0.933438252175523,0.9334382521539196,0.8751844457566538
60,0.9911484339536994,0.9371244635193133,0.9633796602691375,0.9633796602337165,0.9293466694382246
61,0.9972599032509049,0.9483673797651601,0.9721993206476932,0.9721993206316625,0.9459025861212249
62,1.0,0.9163067986395078,0.9563257817485641,0.9563257817294926,0.9163067986044902
63,0.978862848711526,0.9827069482241896,0.9807811318159939,0.980781131799134,0.9622870635533045
64,0.9976386569141278,0.9378959337267854,0.9668452779638312,0.9668452779368485,0.9358184764486321
65,0.9837373269517781,0.9658918645780697,0.9747329236888401,0.9747329236639878,0.9507112304311792
66,0.9990177325130538,0.8765706509412565,0.9337972359137915,0.9337972358912294,0.875815808517231
67,0.9958650347337082,0.9388741618587245,0.9665302191187094,0.9665302190928504,0.9352283317316336
68,0.9998837952472256,0.865556785031687,0.9278839673253714,0.9278839673003563,0.865469724358003
69,0.9886170814479638,0.9632818958390741,0.9757850662944871,0.9757850662774636,0.9527151324878137
70,0.9980135328077472,0.8562982689747004,0.9217406260749914,0.9217406260485683,0.854841282455743
71,0.9998587819947043,0.9038136269347375,0.9494133422728797,0.9494133422569659,0.9036982673057947
72,1.0,0.871375639593013,0.9312674816933278,0.9312674816640603,0.8713756395417647
73,0.9995221516827087,0.9260055653933721,0.9613604280883753,0.9613604280568149,0.9255958024574501
74,0.9999203187250996,0.9131858535875419,0.9545869465997262,0.954586946563419,0.9131194061767358
75,0.9973220899094069,0.9213116479814727,0.9578112175102599,0.9578112174840544,0.9190381181917968
76,0.997572525767042,0.8990424272854427,0.9457481324983023,0.945748132480462,0.8970798740016791
77,0.9974645222327342,0.9210126316892919,0.9577152615658525,0.9577152615571529,0.9188614456621139
78,1.0,0.9213018770449457,0.9590391682351886,0.9590391682065358,0.9213018769920612
79,0.9983285873467872,0.9289746543778802,0.9624037715581548,0.9624037715294383,0.9275320641325397
80,0.9914885800012246,0.9264217873898616,0.9578514596705019,0.9578514596421707,0.9191122210978536
81,0.9998669328010645,0.9394848712178044,0.9687358989234836,0.9687358988922602,0.9393674208688981
82,0.9914874036581157,0.9434106830122592,0.966851758371193,0.9668517583440784,0.935830618841703
83,0.9956020709235651,0.9462433862433862,0.9702954181699808,0.970295418143659,0.9423046524610198
84,0.9995895962653261,0.9181942415531784,0.9571646116814855,0.957164611657976,0.9178482264394061
85,0.9893856143856143,0.9585627003811021,0.9737302977232924,0.9737302976933748,0.9488054606940419
86,0.9764847170030605,0.9740508163462467,0.9752662481500469,0.9752662481406132,0.9517264815089632
87,0.9737593017400549,0.9347440786293572,0.9538528992655925,0.9538528992394537,0.9117770326429286
88,0.9928760617407982,0.9420277296360485,0.9667837609497977,0.9667837609283031,0.93570321910244
89,0.9969218715021267,0.9204495543211472,0.9571607044505044,0.9571607044376466,0.9178410408110823
90,0.9994273443092341,0.8534577611149599,0.9206928386160812,0.9206928385958436,0.8530406093090692
91,0.9999563128003495,0.9184991974317817,0.957498431290525,0.9574984312704978,0.9184623409606973
92,0.9908246134624394,0.9679597207918527,0.979258716162766,0.9792587161438719,0.9593603507878663
93,0.9966363795212301,0.9151624548736462,0.9541633557776755,0.9541633557577232,0.9123445434913287
94,0.995260101907809,0.9214481623697203,0.9569328927879686,0.9569328927334548,0.9174221735753771
95,0.9806504254575126,0.9187506825379491,0.9486919260261615,0.9486919259994167,0.9023919338784515
96,0.9988830071390413,0.9189116740383326,0.957229952994834,0.9572299529725594,0.9179684012801049
97,0.9725424085976188,0.9585046728971962,0.9654725171277653,0.9654725171176668,0.9332497522711817
98,0.99994342291372,0.850447502646521,0.9191564604623346,0.9191564604384337,0.8504065822619253
99,0.9996002798041371,0.874617469616158,0.9329416153702668,0.9329416153485137,0.8743116860032204
100,0.9952995105275425,0.9551521025946913,0.9748126165201841,0.9748126165016396,0.9508628687715397
101,0.9901038247380066,0.943531756146164,0.9662569408191353,0.9662569408076711,0.9347167385700413
102,0.9744369877571223,0.9796566511042487,0.9770398481973435,0.9770398481902127,0.9551103691201133
103,0.9846278786472533,0.9600135738928793,0.9721649484536082,0.9721649484257685,0.9458375124849082
104,0.9997513159530816,0.9040515722798995,0.949496142339789,0.949496142321101,0.9038483156254413
105,0.9992079761461051,0.8646240677282806,0.9270569928029566,0.9270569927829204,0.8640319071443062
106,1.0,0.8822404293585315,0.937436488556565,0.9374364885423471,0.8822404293333455
107,0.987794395736634,0.96199564707852,0.974724342663274,0.9747243426357161,0.9506949039846296
108,0.997551656341581,0.9583392729864576,0.977552392896741,0.9775523928789728,0.956090450083336
109,0.9815451815451816,0.9435259539180182,0.9621601370156283,0.9621601369898801,0.9270795729499727
110,0.9977705112960761,0.8838321776529448,0.9373516406795439,0.9373516406577298,0.8820901405596737
111,0.9898859479233915,0.9468917249897078,0.9679116254602841,0.9679116254348261,0.9378185524496524
112,0.9990537682288768,0.8651371282595074,0.9272854080024798,0.927285407978527,0.8644288190683669
113,0.9852607031810572,0.9246632996632996,0.9540006947660954,0.954000694752287,0.9120471590813924
114,0.9989828538215635,0.9297241254958528,0.9631099696474433,0.9631099696362001,0.9288448547415257
115,0.9888607594936709,0.9507813641010662,0.9694472711027277,0.9694472710786665,0.9407061316439138
116,0.9998814393265754,0.9378370864609397,0.9678659551271016,0.9678659551132172,0.9377328070012305
117,0.9821486647634878,0.9426351749731211,0.961986337734046,0.9619863377170215,0.9267569133928886
118,0.9648697485318476,0.9809856243971892,0.9728609493733347,0.9728609493659492,0.947156033806138
119,0.9991054225158271,0.9515040304082837,0.9747239099056763,0.9747239098729574,0.9506940806082573
120,0.9993227554179567,0.8479599376077498,0.9174401563263312,0.9174401563059591,0.8474729241529589
121,0.9934861811356862,0.9325043177892919,0.9620298273435134,0.9620298273263719,0.9268376420185107
122,0.9970772442588727,0.9024943310657596,0.9474310652648285,0.9474310652335042,0.9001130794760577
123,0.9916841532602783,0.9353810064875564,0.9627100741271668,0.9627100741090082,0.9281012473750554
124,0.993352378859466,0.9241502683363149,0.9575025816188736,0.9575025815935208,0.9184699786183851
125,0.9966814159292036,0.918287765321044,0.9558799787817984,0.9558799787597527,0.9154886021860978
126,0.9913184180228397,0.9402632666312496,0.9651161029400627,0.9651161029327533,0.9325839407374993
127,0.9767228001609288,0.9542902066486972,0.9653762035958758,0.9653762035684558,0.9330697852669483
128,0.9963056255247691,0.9229931549471064,0.9582492126302189,0.9582492126173215,0.9198449612165415
129,0.9569754374698989,0.9997763739028345,0.9779078033575764,0.9779078033308386,0.9567706382239168
130,0.9847428710699488,0.9506376170533152,0.9673897428530384,0.9673897428298762,0.936839176361675
131,0.9979309593814657,0.9279060348319158,0.9616454168634241,0.9616454168381959,0.9261243051578512
132,0.9934275577269819,0.9526996876394467,0.9726374533754734,0.9726374533477794,0.946732442716771
133,0.9873503693012989,0.9376763686204951,0.9618724671243073,0.9618724670845309,0.926545570353207
134,0.9987765089722676,0.8755809796210225,0.9331301200228614,0.9331301200031089,0.874642857108149
135,0.9986812787049247,0.9117402856193956,0.9532324920245665,0.9532324920038796,0.910643944068058
136,0.9852143684820394,0.9370481396579087,0.9605278022549086,0.9605278022332062,0.9240533843010019
137,0.9881418683264473,0.9618719314739371,0.9748299499775032,0.9748299499517024,0.9508958537227812
138,0.9926946704300182,0.9648216879135065,0.9785597381342063,0.9785597381075134,0.9580195480981669
139,0.9955417562295995,0.9541067409300729,0.9743839485730983,0.9743839485541174,0.9500474833447276
140,0.994565722248026,0.9219607758713483,0.9568879802482376,0.9568879802375475,0.9173396165595514
141,0.9922772529997447,0.9374133252939403,0.9640653582612471,0.9640653582313563,0.9306237279462095
142,0.9998755909430207,0.9175704989154013,0.9569565993927487,0.9569565993357768,0.917465753319924
143,0.9923058559964743,0.9675213063095324,0.979756864807042,0.9797568647981602,0.9603170371779368
144,0.999857947819499,0.8738619433868565,0.9326237219265509,0.9326237219059553,0.873753465433287
145,0.9868088182146729,0.9700396707916396,0.9783523931802574,0.9783523931510449,0.9576221650129985
146,0.9994240294896901,0.9514461960246744,0.974845152319555,0.9748451523058633,0.9509247841909597
147,0.9836940554304182,0.944031954887218,0.9634549901683372,0.963454990145234,0.9294868828515482
